region,eps,lr_power_case_above_threshold_mean,lr_power_case_above_threshold_std,jaccard_mean,jaccard_std,maf_mae_mean,maf_mae_std,rmse_maf_mean,rmse_maf_std,corr_maf_mean,corr_maf_std,true_sig_mean,true_sig_std,noisy_sig_mean,noisy_sig_std
chr10_1Mb,0.1,0.04857142857142857,0.03449808911409685,0.08031266889656755,0.0657159887395476,0.1573681704362193,0.0365321310111472,0.2105765039135572,0.053527218855503246,0.7890545746354255,0.09344976645395348,40.0,0.0,39.2,19.03072308275835
chr10_1Mb,0.3,0.05357142857142857,0.03305920217654906,0.03060903417986882,0.0322086632624945,0.10704643293304428,0.022036346004168515,0.1375595823511072,0.029588300513979954,0.909478315242433,0.04040604124272317,40.0,0.0,16.85,7.527318667081225
chr10_1Mb,1.0,0.08714285714285713,0.05559945753121916,0.0030646301073620937,0.00748969471987713,0.07881640631707645,0.008095965768783872,0.10196917051515905,0.008102826288604903,0.9527832443860846,0.007726329612709265,40.0,0.0,4.95,2.9464519251751624
chr10_1Mb,3.0,0.12,0.0071803527135719195,0.0,0.0,0.07528393133633295,0.002487512972205068,0.09876370030676669,0.0026055721173915917,0.9561526080319395,0.0023065345072091174,40.0,0.0,1.25,1.3717065820970682
chr10_1Mb,10.0,0.11428571428571428,0.0,0.0,0.0,0.0755900485679704,0.0006731565292959769,0.09949079417890444,0.0007886704204539981,0.9558795860018015,0.0006705548709138507,40.0,0.0,0.0,0.0
chr2_5Mb,0.1,0.11000000000000001,0.04225135771530012,0.27979141998902596,0.06487948320838519,0.2286374734154149,0.018180103035890953,0.3026017250435728,0.021619467024493567,0.5492317108114906,0.05491077960836548,47.0,0.0,46.65,6.776701573075674
chr2_5Mb,0.3,0.11357142857142857,0.04645892587835129,0.19543641858820374,0.046863203134001837,0.19374179887635792,0.011936710225566156,0.2578508884167394,0.014610207568148214,0.6448929980504204,0.03779175643757512,47.0,0.0,29.8,6.428554720111954
chr2_5Mb,1.0,0.11214285714285714,0.0512517847007898,0.04834449102636497,0.01919236627087052,0.16461828140345558,0.005294698142573102,0.22649971674018698,0.006684988243974968,0.7174195346873217,0.01637274840904074,47.0,0.0,7.9,2.7125439603519985
chr2_5Mb,3.0,0.10642857142857143,0.05087314946214394,0.003020408163265306,0.009824876638863948,0.15739762837256216,0.002188081908702803,0.22003222863749744,0.002671892250975311,0.7338161651564695,0.006140604697418059,47.0,0.0,1.15,1.268027892769755
chr2_5Mb,10.0,0.10142857142857142,0.05032653845249141,0.0,0.0,0.15731269084406702,0.0006937474255503955,0.21988675712472955,0.0008785660224082389,0.7357552729266338,0.001930932811028896,47.0,0.0,0.0,0.0
