region,eps,lr_power_case_above_threshold_mean,lr_power_case_above_threshold_std,jaccard_mean,jaccard_std,maf_mae_mean,maf_mae_std,rmse_maf_mean,rmse_maf_std,corr_maf_mean,corr_maf_std,true_sig_mean,true_sig_std,noisy_sig_mean,noisy_sig_std
chr10_1Mb,0.03,0.10175438596491228,0.06440260330208257,0.23092708885739063,0.04438160764674933,0.1541605310708307,0.012779251626239411,0.20671828871263645,0.018436415386444704,0.7819369503689406,0.034444864177669746,234.0,0.0,143.6,27.203701573689283
chr10_1Mb,0.1,0.1023391812865497,0.061482678774511114,0.22666783266283114,0.0454966837862452,0.1533439146532391,0.012721724223876053,0.20558495379175676,0.01834030530705241,0.7838726242762878,0.0343989121324398,234.0,0.0,140.23333333333332,28.235076416221816
chr10_1Mb,0.3,0.10467836257309941,0.05537962613170032,0.2168071881813177,0.048567830815778826,0.15123667687013004,0.012316175999373154,0.2028982654694106,0.017579885326935697,0.7882957749322947,0.033179379535694595,234.0,0.0,130.4,27.342779416271796
chr10_1Mb,1.0,0.10526315789473685,0.06333912292782266,0.1936551227376571,0.05404702739108108,0.14527695933323967,0.010671819084544294,0.19500383921630363,0.014906579852409006,0.801453827145797,0.028053427500506583,234.0,0.0,102.93333333333334,24.482130475995714
chr10_1Mb,3.0,0.10994152046783624,0.06530811332335756,0.1619206571811095,0.0458608527843767,0.13706908243359728,0.00794585432343102,0.18315740565553856,0.010479987623139165,0.8219824337353585,0.019058088145121756,234.0,0.0,74.53333333333333,19.4222292362578
chr10_1Mb,10.0,0.12690058479532162,0.057854086323286584,0.15991117608059338,0.023972578170622597,0.13188119117881192,0.004240875731558515,0.1759813371821444,0.005264223510040157,0.8350124456649365,0.00928061952106168,234.0,0.0,59.266666666666666,8.50530598421112
chr2_5Mb,0.03,0.10701754385964911,0.06289351129964321,0.16684876820486913,0.07788914344741331,0.16273813142676674,0.012431252947140443,0.20217007159129954,0.014683214314770933,0.7943431563507972,0.023984816883058098,137.0,0.0,56.333333333333336,17.902674300965113
chr2_5Mb,0.1,0.1023391812865497,0.05990892734246441,0.15856523260391686,0.07654945644001644,0.1616657512740049,0.01212308955652076,0.20067344326075992,0.014456493736090145,0.7967635853842304,0.02350261614383265,137.0,0.0,53.4,17.303776745415213
chr2_5Mb,0.3,0.11871345029239766,0.07352607889066717,0.14521027902241918,0.07268621726943932,0.15882466711500212,0.011190963825379825,0.19676489261351804,0.013701274405056953,0.8029736661214195,0.022066909150942896,137.0,0.0,45.833333333333336,16.34980403411683
chr2_5Mb,1.0,0.10994152046783624,0.06643595787629192,0.10942188624032176,0.04885153034388241,0.15395336727287814,0.008489188774216611,0.19036594209288865,0.011047096884427319,0.8135060878156103,0.017364496051950246,137.0,0.0,30.966666666666665,12.161225361732697
chr2_5Mb,3.0,0.08947368421052632,0.04615298891415583,0.11532278908365214,0.01736845647746694,0.15351319755156553,0.005010255868287109,0.19017223923347207,0.006964904056274485,0.8152412936326552,0.010852484444147296,137.0,0.0,26.866666666666667,6.755500100599171
chr2_5Mb,10.0,0.06783625730994153,0.026359444868098596,0.12254842933144841,0.01097554064647728,0.1573061420825585,0.0020852627437635287,0.19629872061624612,0.003021579569119386,0.8075966589981584,0.004744478993096694,137.0,0.0,34.2,5.339507919985343
