region,eps,lr_power_mean,lr_power_std,jaccard_mean,jaccard_std,precision_mean,precision_std,recall_mean,recall_std,maf_mae_mean,maf_mae_std,maf_mse_mean,maf_mse_std,clip_frac_mean,clip_frac_std
chr10_1Mb,0.03,0.04065040650406504,0.0254223076413194,0.1429952387919416,0.013711432293207437,0.15056478685746197,0.015123094471720853,0.7426575791996272,0.033241934285816226,0.5043360532056566,0.016552631669201755,0.4115104937950772,0.016765252365593033,0.9982788296041308,0.0019874363827525757
chr10_1Mb,0.1,0.03983739837398374,0.02467464420615726,0.14315641402182414,0.013720653812391926,0.15074539733765832,0.015143277604237598,0.7426575791996272,0.033241934285816226,0.5027258897844088,0.017194533498258145,0.4096211984307659,0.01738842762826127,0.9943201376936317,0.0036330786457802887
chr10_1Mb,0.3,0.03902439024390244,0.024480411470214014,0.14313305321546477,0.013703947968358356,0.15081860616196216,0.015159990226291269,0.7403889301352847,0.03355368501826617,0.4989869199215729,0.017330952754257174,0.405426494445493,0.01729033893658002,0.9857142857142858,0.005909630192458099
chr10_1Mb,1.0,0.03739837398373984,0.025766643520877427,0.1436402825081921,0.014383128527920003,0.15148062117824793,0.01587005080996374,0.7379274381389089,0.03381939287256815,0.48617699721757246,0.018020639351937703,0.3902926574470761,0.018044281256874364,0.9550774526678142,0.01021324458604432
chr10_1Mb,3.0,0.03821138211382114,0.030672431039394925,0.1452139915754382,0.014285966405756318,0.15355075106372013,0.01592164988332094,0.7313444341863399,0.03800976187638808,0.45248673116339183,0.016767205661333856,0.35094899970982707,0.016009604149796,0.8764199655765921,0.010541534437503957
chr10_1Mb,10.0,0.03739837398373984,0.034322255173956775,0.14924143000618897,0.016610788979647014,0.15947756124351162,0.018515574459131295,0.7018342532712694,0.039643664618682246,0.36176270742100225,0.019031586520509885,0.2499670187487375,0.018709337940106405,0.6857142857142857,0.020863349490885995
chr2_5Mb,0.03,0.061788617886178863,0.03516775760977416,0.43421135460281546,0.01513743710777681,0.4604599755494417,0.015643661861606123,0.8840249346607374,0.017145024607920976,0.500526487424505,0.012337702772674682,0.3727970284328732,0.012533655420675591,0.995959595959596,0.005678613082232776
chr2_5Mb,0.1,0.06016260162601626,0.03699956241924338,0.43461796934083124,0.013394178133341832,0.46117424533064194,0.014548024219030268,0.8832365203440435,0.01605037752068921,0.4980751998863176,0.01182224803004738,0.37007283501529425,0.012228106194030277,0.9895622895622896,0.008315884872207725
chr2_5Mb,0.3,0.058536585365853655,0.04088460090112978,0.4344212269571238,0.01364443332424891,0.46181083149769525,0.01484613695032609,0.8800608236683779,0.014958052477647232,0.4914897004382124,0.010899747795492777,0.3628749893063531,0.01117052366258428,0.972053872053872,0.014289393744468443
chr2_5Mb,1.0,0.06260162601626015,0.05156890338925194,0.42734078650388374,0.014566844552087758,0.4594443873617794,0.015100519573710112,0.8596376434492095,0.019775858526475436,0.47159336926458784,0.009866053322039601,0.34122385313774706,0.009948659727372099,0.9191919191919192,0.02081620313242585
chr2_5Mb,3.0,0.051219512195121955,0.02425436404906715,0.4248455923324136,0.02031811022531535,0.4618582780046003,0.019845266792736786,0.8413258489293203,0.030138202953547633,0.42006821168615244,0.013098482039896725,0.2859425081618475,0.014265596675222987,0.7885521885521886,0.0292152088054302
chr2_5Mb,10.0,0.07154471544715447,0.03550032063699255,0.4272395344272165,0.022461462847131082,0.48253104471558406,0.021982078069942738,0.7880396324255615,0.026320326506559816,0.2959326949910484,0.01416797921275601,0.16293764948399986,0.013625670829502074,0.5151515151515151,0.036985986651591654
