region,eps,lr_power_mean,lr_power_std,jaccard_mean,jaccard_std,maf_mae_mean,maf_mae_std,rmse_maf_mean,rmse_maf_std,corr_maf_mean,corr_maf_std,true_sig_mean,true_sig_std,noisy_sig_mean,noisy_sig_std
chr10_1Mb,0.03,0.06361111111111112,0.03470478489356044,0.14052179192765485,0.015139208837600455,0.19557661346368288,0.005892381576028716,0.27538389689204823,0.00971893612060828,0.618471017222712,0.025748709895693524,315.7,9.450962366614958,96.66666666666667,3.457459036417605
chr10_1Mb,0.1,0.06166666666666667,0.04418265813295401,0.13863787278731904,0.01594930976483316,0.1948064083686101,0.00577685947946332,0.27432816613878597,0.009758743291027817,0.6202465131282228,0.026224398093285115,315.7,9.450962366614958,96.36666666666666,3.7736229124089045
chr10_1Mb,0.3,0.06833333333333333,0.040078945084426304,0.14222190171847185,0.01667196102730989,0.19388392068991395,0.005988969102470618,0.2728600681104453,0.010224682426782455,0.6245911951113219,0.026885102071675583,315.7,9.450962366614958,97.3,4.41900285210324
chr10_1Mb,1.0,0.06111111111111111,0.026200426034577354,0.13934721848729786,0.01909462004329234,0.1827913622181873,0.005735448631537108,0.25387451751475965,0.00987268097375678,0.6761624463054047,0.02509197676355808,315.7,9.450962366614958,94.63333333333334,5.061574876447555
chr10_1Mb,3.0,0.06194444444444444,0.03851178685405559,0.13662217122165837,0.013916312294696578,0.16448701704813423,0.004024245927115859,0.21972912801234504,0.0068501802622484695,0.7588762311433886,0.014237292410339985,315.7,9.450962366614958,91.76666666666667,4.264394150552265
chr10_1Mb,10.0,0.08027777777777777,0.0414351807259,0.129270298058017,0.01790215772981435,0.1601806753079171,0.0035305914122342593,0.21135596758901973,0.005669976263808436,0.7775970262375669,0.010201514638653073,315.7,9.450962366614958,89.26666666666667,5.501932784741748
chr2_5Mb,0.03,0.05444444444444444,0.03154189980275927,0.24446099154841494,0.021434035002059506,0.2345685434656903,0.01012672201774542,0.32199626146159105,0.014086103720197947,0.5297053990658214,0.04101024112372861,184.0,5.291502622129179,89.26666666666667,4.2176422023598015
chr2_5Mb,0.1,0.0575,0.03441840258904543,0.24685050387478533,0.023020259551675776,0.23219678081638725,0.011008200416383162,0.31973603655134003,0.015228184510187577,0.5363416577338953,0.04284262173354876,184.0,5.291502622129179,89.43333333333334,3.9539010272556583
chr2_5Mb,0.3,0.055,0.029246606378763494,0.24386703875082774,0.02371921740318618,0.22670861911777423,0.009426213606321858,0.3113945099336764,0.014569552176118666,0.5632052789370333,0.03912211569102987,184.0,5.291502622129179,88.93333333333334,4.354413799839175
chr2_5Mb,1.0,0.07222222222222222,0.04756188413506818,0.23497268352009984,0.022959210339059344,0.2068946050051931,0.008161180649208453,0.28204554608038473,0.012673136573133254,0.6406841583164069,0.03200838044350481,184.0,5.291502622129179,85.43333333333334,4.182750566176587
chr2_5Mb,3.0,0.061388888888888896,0.04097023340844892,0.2211208588927471,0.021698421748269307,0.17559991557532006,0.006903036264042066,0.2297970163134681,0.011396267989887519,0.770377833698818,0.021598301358837068,184.0,5.291502622129179,81.9,4.357712148870528
chr2_5Mb,10.0,0.07722222222222222,0.04111318209550168,0.21517220185542602,0.025172295475219278,0.16663787798531088,0.006534079658885782,0.21227993949444116,0.009778642787297405,0.8082365238113425,0.019233027890796565,184.0,5.291502622129179,79.73333333333333,4.841867218431287
